"Name,""Price"",""Score"",""Count_comment"",""Text"",""Count_byers"",""Reason"",""Count_suggest"""
"Смартфон Xiaomi Mi8 6/64GB,22860,4.5,56,""смартфон с Android 8.1поддержка двух SIM-картэкран 6.21"""", разрешение 2248x1080двойная камера 12 МП/12 МП, автофокуспамять 64 Гб, без слота для карт памяти"",2509,"" мощный процессор, качество фотографий"",184"
"Смартфон HUAWEI Mate 20 6/128GB,39290,4.5,27,""смартфон с Android 9.0поддержка двух SIM-картэкран 6.53"""", разрешение 2244x1080три камеры 12 МП/16 МП/8 МП, автофокуспамять 128 Гб, слот для карты памяти"",797,"" долгое время работы, мощный процессор"",53"
"Смартфон Xiaomi Redmi Note 5 4/64GB,11560,4.5,260,""смартфон на платформе Androidподдержка двух SIM-картэкран 5.99"""", разрешение 2160x1080двойная камера 12 МП/5 МП, автофокуспамять 64 Гб, слот для карты памяти"",7639,"" долгое время работы, Объем памяти"",165"
"Смартфон Xiaomi Mi A2 4/64GB,13190,4.5,105,""смартфон на платформе Androidподдержка двух SIM-картэкран 5.99"""", разрешение 2160x1080двойная камера 12 МП/20 МП, автофокуспамять 64 Гб, без слота для карт памяти"",3192,"" качество фотографий, мощный процессор"",294"
"Смартфон Xiaomi Redmi 6A 2/32GB,6479,4.5,16,""смартфон на платформе Androidподдержка двух SIM-картэкран 5.45"""", разрешение 1440x720камера 13 МП, автофокуспамять 32 Гб, слот для карты памяти"",2222,"" Объем памяти, мощный процессор"",203"
"Смартфон LG G7 ThinQ 64GB,35980,4.5,23,""смартфон с Android 8.0поддержка двух SIM-картэкран 6.1"""", разрешение 3120x1440двойная камера 16 МП/16 МП, автофокуспамять 64 Гб, слот для карты памяти"",296,"" мощный процессор, качество фотографий"",77"
"Смартфон ASUS ZenFone Max Pro M1 ZB602KL 3/32GB,11990,4.5,157,""смартфон с Android 8.1поддержка двух SIM-картэкран 6"""", разрешение 2160x1080двойная камера 13 МП/5 МП, автофокуспамять 32 Гб, слот для карты памяти"",2362,"" долгое время работы, экран"",89"
"Смартфон Honor 8X 4/128GB,16490,4.5,32,""смартфон на платформе Androidподдержка двух SIM-картэкран 6.5"""", разрешение 2340x1080двойная камера 20 МП/2 МП, автофокуспамять 128 Гб, слот для карты памяти"",1778,"" Объем памяти, долгое время работы"",78"
"Смартфон Xiaomi Redmi 6 3/32GB,7870,4.5,47,""смартфон с Android 8.1поддержка двух SIM-картэкран 5.45"""", разрешение 1440x720двойная камера 12 МП/5 МП, автофокуспамять 32 Гб, слот для карты памяти"",4697,"" Объем памяти, мощный процессор"",173"
"Смартфон Samsung Galaxy S9 Plus 64GB,38490,4.5,74,""смартфон с Android 8.0поддержка двух SIM-картэкран 6.2"""", разрешение 2960x1440двойная камера 12 МП/12 МП, автофокуспамять 64 Гб, слот для карты памяти"",2343,"" качество фотографий, экран"",331"
"Смартфон Samsung Galaxy A7 (2018) 4/64GB,17490,4.5,56,""смартфон с Android 8.0поддержка двух SIM-картэкран 6"""", разрешение 2220x1080три камеры 24 МП/5 МП/8 МП, автофокуспамять 64 Гб, слот для карты памяти"",2050,"" Объем памяти, экран"",182"
"Смартфон Honor 9 Lite 32GB,10190,4.5,218,""смартфон с Android 8.0поддержка двух SIM-картэкран 5.65"""", разрешение 2160x1080двойная камера 13 МП/2 МП, автофокуспамять 32 Гб, слот для карты памяти"",3544,"" экран, качество фотографий"",125"
"Смартфон Samsung Galaxy A8 (2018) 32GB,17190,4.5,95,""смартфон на платформе Androidподдержка двух SIM-картэкран 5.6"""", разрешение 2220x1080камера 16 МП, автофокуспамять 32 Гб, слот для карты памяти"",1927,"" экран, мощный процессор"",202"
"Смартфон OnePlus 6T 8/128GB,34990,5,15,""смартфон с Android 9.0поддержка двух SIM-картэкран 6.41"""", разрешение 2340x1080двойная камера 16 МП/20 МП, автофокуспамять 128 Гб, без слота для карт памяти"",1265,"" мощный процессор, экран"",16"
"Смартфон Apple iPhone Xr 128GB,57990,4.5,27,""смартфон с iOS 12поддержка двух SIM-карт (nano SIM+eSIM)экран 6.1"""", разрешение 1792x828камера 12 МП, автофокуспамять 128 Гб, без слота для карт памяти"",NA,"" качество фотографий, долгое время работы"",486"
"Смартфон Honor 10 4/64GB,21980,4.5,199,""смартфон с Android 8.1поддержка двух SIM-картэкран 5.84"""", разрешение 2280x1080двойная камера 16 МП/24 МП, автофокуспамять 64 Гб, без слота для карт памяти"",1896,"" мощный процессор, Объем памяти"",128"
"Смартфон Sony Xperia XZ3 6/64GB,42990,4.5,4,""смартфон с Android 9.0поддержка двух SIM-картэкран 6"""", разрешение 2880x1440камера 19 МП, автофокуспамять 64 Гб, слот для карты памяти"",221,"" экран, мощный процессор"",26"
"Смартфон Samsung Galaxy S8+ 64GB,28390,4.5,198,""смартфон с Android 7.0поддержка двух SIM-картэкран 6.2"""", разрешение 2960x1440камера 12 МП, автофокуспамять 64 Гб, слот для карты памяти"",1888,"" качество фотографий, мощный процессор"",188"
"Смартфон Samsung Galaxy A8s 6/128GB,31990,NA,NA,""смартфон с Android 8.1поддержка двух SIM-картэкран 6.4"""", разрешение 2340x1080три камеры 24 МП/5 МП/10 МП, автофокуспамять 128 Гб, слот для карты памяти"",NA,NA,1"
"Смартфон Xiaomi Pocophone F1 6/64GB,19790,4.5,63,""смартфон на платформе Androidподдержка двух SIM-картэкран 6.18"""", разрешение 2246x1080двойная камера 12 МП/5 МП, автофокуспамять 64 Гб, слот для карты памяти"",3273,"" долгое время работы, мощный процессор"",90"
"Смартфон Sony Xperia XA2 Plus 32GB,18490,4.5,19,""смартфон с Android 8.0поддержка двух SIM-картэкран 6"""", разрешение 2160x1080камера 23 МП, автофокуспамять 32 Гб, слот для карты памяти"",292,"" экран, долгое время работы"",64"
"Смартфон Apple iPhone SE 32GB,17300,4.5,261,""смартфон с iOS 10экран 4"""", разрешение 1136x640камера 12 МП, автофокуспамять 32 Гб, без слота для карт памяти3G, 4G LTE, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС"",3676,"" качество фотографий, мощный процессор"",92"
"Смартфон Apple iPhone 8 Plus 64GB,45990,4.5,73,""смартфон с iOS 11экран 5.5"""", разрешение 1920x1080двойная камера 12 МП/12 МП, автофокуспамять 64 Гб, без слота для карт памяти3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС"",1298,"" качество фотографий, экран"",247"
"Смартфон Xiaomi Redmi 6 4/64GB,8880,4.5,24,""смартфон с Android 8.1поддержка двух SIM-картэкран 5.45"""", разрешение 1440x720двойная камера 12 МП/5 МП, автофокуспамять 64 Гб, слот для карты памяти"",3126,"" Объем памяти, мощный процессор"",138"
"Смартфон Apple iPhone 6S 32GB,23190,4.5,67,""смартфон с iOS 9экран 4.7"""", разрешение 1334x750камера 12 МП, автофокуспамять 32 Гб, без слота для карт памяти3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС"",1936,"" качество фотографий, экран"",158"
